Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;
Uruguay;;;;274;481;550;525;538;;;
Uzbekistan;;;;;;;534;;;;
Vanuatu;;;;;;;;;;;
Venezuela RB;122;146;163;187;182;200;228;290;;;
Vietnam;;;;;;;;;;;
Virgin Islands (US);;;;;;;;;;;
West Bank and Gaza;;;75;95;145;327;;;;;
Yemen Rep;;;;;;;;;;;
Zambia;;;;43;;;;;;;
Zimbabwe;;;;;;;;95;;;
